name,type,genre,link
Stray Kids (스트레이 키즈) - THIS & THAT [FULL ALBUM PLAYLIST],album-upload,,https://www.youtube.com/watch?v=y7zoy8kvr7k
"ITZY ""Motto"" || FULL ALBUM - Tracklist",album-upload,,https://www.youtube.com/watch?v=gzkJfINm6Hc
Isaiah Rashad - The Sun's Tirade (FULL ALBUM) + TRACKLIST,album-upload,,https://www.youtube.com/watch?v=Y7qFN6naZGc
Joji - SMITHEREENS [Full Album] Tracklist,album-upload,,https://www.youtube.com/watch?v=CT1xuQulLTo
"Stray Kids ""THIS & THAT"" || FULL ALBUM - Tracklist",album-upload,,https://www.youtube.com/watch?v=2cWLGXI6SFs
"LE SSERAFIM ""SPAGHETTI"" || FULL ALBUM - Tracklist",album-upload,,https://www.youtube.com/watch?v=DrQJmTOsnQA
"Stray Kids ""樂-STAR (ROCK-STAR)"" || FULL ALBUM - Tracklist",album-upload,,https://www.youtube.com/watch?v=5Gx9n1Pmc4U
"P1Harmony ""SAD SONG"" || FULL ALBUM - Tracklist",album-upload,,https://www.youtube.com/watch?v=w2x-UTt5IN4
Eagles - Greatest Hits (Full Album),album-upload,,https://www.youtube.com/watch?v=0kjYG_MMUO0
James Taylor Greatest Hits Full Album | Best Songs Of Jame Taylor,album-upload,,https://www.youtube.com/watch?v=IWnzqoehDQM
"80s Greatest Hits Collection | Legendary Pop, Rock and Dance Classics",album-upload,,https://www.youtube.com/watch?v=q5D2ZlBuG7g
T H E. C U R E Greatest Hits Full Album - Best Songs Of T H E. C U R E Playlist 2021,album-upload,,https://www.youtube.com/watch?v=uXHmKrTTR6g
Tom Petty ▶ Greatest Hits (Full Album),album-upload,,https://www.youtube.com/watch?v=z7Qio-cgofk
FooFighters - Greatest Hits (Full Album),album-upload,,https://www.youtube.com/watch?v=O6cVpDO40lM
Rihanna Songs Playlist 2024 - Rihanna Greatest Hits Full Album 2024❤️❤️,album-upload,,https://www.youtube.com/watch?v=T9CaTvx8FP4
R U S H Greatest Hits Full Album - Best Songs Of R U S H Playlist,album-upload,,https://www.youtube.com/watch?v=gMkM_ARTOF8
Fleetwood Mac Greatest Hits Full Album 2021,album-upload,,https://www.youtube.com/watch?v=z9IVZVirxmw
